Date,Underlying1,Underlying2,Underlying3,Underlying4,Underlying5,Underlying6
04-Sep-20,193.6130339,262.9449428,740.5835247,32.49052791,19356.53816,1314.800053
08-Sep-20,195.0860565,263.8784857,738.9900109,67.18884343,19508.33243,1318.945353
09-Sep-20,194.6376406,264.0968333,739.9041647,69.94172329,19462.137,1320.218546
10-Sep-20,195.004944,264.4207349,738.4424424,22.0287891,19494.34334,1321.781199
11-Sep-20,194.8946278,264.5519714,740.1751897,69.12777299,19485.49121,1322.518614
14-Sep-20,195.2299351,264.6561565,741.5098302,6.802253629,19522.49509,1323.320049
15-Sep-20,195.2371794,264.7609759,741.2899538,66.734033,19520.68169,1323.534988
16-Sep-20,194.7996571,265.1761847,741.9537688,66.34845877,19470.94552,1325.540269
17-Sep-20,193.5693445,265.4810635,742.9118812,7.74156279,19350.17419,1327.146126
18-Sep-20,192.7852707,265.2854579,744.8794584,1.833080014,19277.30287,1326.353193
21-Sep-20,191.5586216,265.1802474,741.1588845,51.0244736,19146.31819,1325.817017
22-Sep-20,191.7319626,265.7123906,742.2514654,19.41591005,19167.95608,1328.434786
23-Sep-20,189.4140991,264.2021582,738.4240359,20.87153882,18932.26017,1320.54362
24-Sep-20,188.5963356,264.152659,735.691803,1.182353646,18856.20409,1320.488555
25-Sep-20,189.1192881,264.27084,735.6389447,55.558334,18904.16892,1321.356815
28-Sep-20,189.2947499,264.5074562,736.9964155,73.46306793,18920.12473,1322.270758
29-Sep-20,191.5856803,265.9118034,737.2138247,49.31155901,19154.78084,1329.191487
30-Sep-20,190.4283864,266.0917257,739.8444921,71.67005885,19033.22849,1330.159366
01-Oct-20,191.0712661,265.7479,737.3245457,8.474908983,19106.77585,1328.469447
02-Oct-20,192.2830866,266.177884,737.1815745,11.51477798,19224.01761,1330.488496
05-Oct-20,190.5904708,265.622162,737.5432028,26.47986837,19058.27152,1327.828112
06-Oct-20,189.9015152,265.3649179,737.8420526,48.28973949,18987.23302,1326.729444
07-Oct-20,189.6114755,264.1779897,737.9568226,63.48145004,18951.89292,1320.488797
08-Oct-20,188.9042057,263.3880825,737.6611335,14.30999005,18890.41053,1316.769028
09-Oct-20,190.333206,262.9772491,738.0925203,32.32654112,19028.65186,1314.757755
12-Oct-20,190.4289338,262.9810681,738.2310417,31.6490493,19035.33259,1314.714009
13-Oct-20,189.2333849,263.2465399,738.3502904,2.37061125,18917.88369,1315.967483
14-Oct-20,189.5478314,262.7733363,738.5102155,66.02605303,18950.1958,1313.727018
15-Oct-20,189.0090207,262.0300287,738.8891525,40.32241941,18897.07505,1309.839468
16-Oct-20,188.9844665,262.0319319,739.3299151,46.58733574,18893.91469,1309.986737
19-Oct-20,189.6710152,261.8487396,740.6119914,60.75142856,18959.39181,1308.84459
20-Oct-20,190.1131246,262.2347003,741.1299773,71.86025803,19003.09671,1311.07452
21-Oct-20,191.2416389,261.7811267,741.9968187,37.05421854,19118.23372,1308.863642
22-Oct-20,190.7142793,261.9885614,740.6376037,37.70701346,19066.16021,1309.671668
23-Oct-20,191.1136959,261.7178147,740.8181573,62.24016246,19104.72903,1308.154322
26-Oct-20,191.4896058,261.277899,738.4669093,10.81945642,19143.5618,1306.115197
27-Oct-20,191.1018185,260.960985,737.2014946,35.58060399,19104.70945,1304.722073
28-Oct-20,191.0239079,261.2587445,732.4775167,33.48550794,19095.94572,1306.018639
29-Oct-20,191.0999025,261.2945912,730.5411522,30.82011715,19109.59972,1306.387602
30-Oct-20,190.8088568,261.4783371,728.7380651,33.30078308,19080.56065,1307.030125
02-Nov-20,190.4824982,261.9321254,728.5409123,14.98727899,19043.07568,1309.262105
03-Nov-20,190.253927,262.7049863,733.3581185,51.60754843,19022.40649,1313.518743
04-Nov-20,190.0891398,263.0444235,737.9204794,63.83442634,19002.83941,1315.14707
05-Nov-20,189.6248921,263.5734726,743.075558,43.62308603,18953.924,1317.471063
06-Nov-20,190.1619742,264.5988429,743.1855385,35.11289407,19008.68371,1322.905224
09-Nov-20,191.0212692,264.7573797,746.8685347,22.0491091,19096.63278,1323.627693
10-Nov-20,191.0655036,264.6641241,753.2198004,22.05646708,19097.66287,1323.248677
11-Nov-20,191.3729746,264.638824,752.7888487,28.46642662,19127.90157,1322.974118
12-Nov-20,191.1157957,264.671349,751.4139028,6.04786221,19109.79559,1323.220492
13-Nov-20,191.6375101,264.6672981,752.8663706,49.40507398,19162.41422,1323.330952
16-Nov-20,190.5823301,265.3560322,756.4522848,18.00899472,19051.01031,1326.655808
17-Nov-20,190.4038362,265.2351722,758.989864,20.46899011,19036.68596,1325.864688
18-Nov-20,190.3756199,264.9340869,761.5792895,9.111159109,19029.30972,1324.494343
19-Nov-20,190.2034659,265.0710688,762.2233158,17.2071824,19015.05205,1325.266757
20-Nov-20,190.2586059,265.2183289,768.2443937,47.59357912,19017.753,1325.692845
23-Nov-20,191.0242098,265.3735058,764.4363104,23.80193618,19100.87921,1326.473384
24-Nov-20,191.6498036,265.0103806,768.5943754,18.02716022,19160.29605,1325.022777
25-Nov-20,191.2833592,264.9987989,766.9157671,54.72699044,19121.02617,1324.995379
27-Nov-20,192.1314219,265.41493,777.157183,30.57420382,19212.16611,1326.86504
30-Nov-20,191.6236314,265.2961401,770.9009066,66.66444635,19159.08742,1326.273737
01-Dec-20,191.0390252,265.6015438,773.1585574,40.29674511,19096.14281,1327.743485
02-Dec-20,190.6100764,265.6024015,769.1630437,34.87116958,19053.32487,1327.697741
03-Dec-20,191.0051055,265.8171994,770.3740299,46.26355809,19095.61619,1328.866336
04-Dec-20,190.9169422,266.0122344,774.5743241,51.2665323,19084.52779,1329.914099
07-Dec-20,190.7195387,267.1099001,772.3671772,45.11069104,19063.90492,1335.105363
08-Dec-20,190.1690808,267.3215971,768.0805168,7.938059246,19011.25421,1336.39001
09-Dec-20,190.9815094,267.0172255,778.7393556,26.97511111,19092.09406,1335.013588
10-Dec-20,190.4548405,266.9921901,787.1327367,8.887167876,19038.08753,1334.801949
11-Dec-20,190.7510507,266.808101,780.6223273,31.80107453,19067.76128,1334.035317
14-Dec-20,190.2871758,266.933531,787.2808705,52.96666503,19026.70582,1334.27813
15-Dec-20,190.2364609,266.8339965,788.2535866,64.10036792,19013.76314,1333.810329
16-Dec-20,190.0863451,266.9183066,789.4524419,3.201821636,19006.4784,1334.373786
17-Dec-20,190.0629862,266.7463543,796.5649627,63.54469876,19004.55907,1333.324991
18-Dec-20,190.6394479,266.4477651,798.3114697,50.37707823,19060.15775,1331.853403
21-Dec-20,190.7875826,266.751903,787.5725597,1.907458937,19069.88442,1333.52805
22-Dec-20,191.0940661,266.4629053,779.1019285,42.34161163,19099.4459,1331.928502
23-Dec-20,191.8212945,266.1651291,786.0733005,7.858276906,19175.19878,1330.729397
